Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
10.3852116875,0,0x20,0x01,Write,ACK
10.3854584375,0,0x20,0xBB,Write,ACK
10.3857055625,0,0x20,0x01,Write,ACK
10.3864064375,1,0x20,0x5A,Read,ACK
10.3866785625,1,0x20,0x01,Read,ACK
10.386949375,1,0x20,0x5B,Read,NAK
10.3878455,2,0x20,0x01,Write,ACK
10.38809225,2,0x20,0x97,Write,ACK
10.3883391875,2,0x20,0x0A,Write,ACK
10.38906325,3,0x20,0x5A,Read,ACK
10.389335625,3,0x20,0x00,Read,ACK
10.38960775,3,0x20,0x00,Read,ACK
10.3898801875,3,0x20,0x02,Read,ACK
10.3901523125,3,0x20,0x01,Read,ACK
10.3904246875,3,0x20,0x00,Read,ACK
10.3906968125,3,0x20,0x00,Read,ACK
10.3909690625,3,0x20,0x00,Read,ACK
10.39124125,3,0x20,0x00,Read,ACK
10.391513375,3,0x20,0x00,Read,ACK
10.3917856875,3,0x20,0x00,Read,ACK
10.3920566875,3,0x20,0x59,Read,NAK
10.3929278125,4,0x20,0x01,Write,ACK
10.3931748125,4,0x20,0xA1,Write,ACK
10.3934215625,4,0x20,0x08,Write,ACK
10.39414025,5,0x20,0x5A,Read,ACK
10.39441275,5,0x20,0x00,Read,ACK
10.3948445,5,0x20,0x00,Read,ACK
10.39517225,5,0x20,0x00,Read,ACK
10.39544625,5,0x20,0x00,Read,ACK
10.395718625,5,0x20,0x00,Read,ACK
10.3959906875,5,0x20,0x00,Read,ACK
10.396263125,5,0x20,0x00,Read,ACK
10.3965353125,5,0x20,0x00,Read,ACK
10.3968065,5,0x20,0x5A,Read,NAK
10.3977624375,6,0x20,0x01,Write,ACK
10.39801,6,0x20,0xA9,Write,ACK
10.3982566875,6,0x20,0x0A,Write,ACK
10.398504125,6,0x20,0x00,Write,ACK
10.3987510625,6,0x20,0x00,Write,ACK
10.39899825,6,0x20,0x02,Write,ACK
10.399245,6,0x20,0x01,Write,ACK
10.3994916875,6,0x20,0x00,Write,ACK
10.3997388125,6,0x20,0x00,Write,ACK
10.3999858125,6,0x20,0x00,Write,ACK
10.400232625,6,0x20,0x00,Write,ACK
10.400479375,6,0x20,0x00,Write,ACK
10.4007263125,6,0x20,0x00,Write,ACK
10.40097325,6,0x20,0xE1,Write,ACK
10.401699125,7,0x20,0x5A,Read,ACK
10.4019700625,7,0x20,0x5A,Read,NAK
10.4030006875,8,0x20,0x01,Write,ACK
10.4032475,8,0x20,0xB3,Write,ACK
10.4034944375,8,0x20,0x08,Write,ACK
10.40374175,8,0x20,0x00,Write,ACK
10.4039885625,8,0x20,0x00,Write,ACK
10.4042353125,8,0x20,0x00,Write,ACK
10.4044828125,8,0x20,0x00,Write,ACK
10.4047301875,8,0x20,0x00,Write,ACK
10.4049769375,8,0x20,0x00,Write,ACK
10.4052236875,8,0x20,0x00,Write,ACK
10.4054708125,8,0x20,0x00,Write,ACK
10.4057178125,8,0x20,0xFA,Write,ACK
10.40643825,9,0x20,0x5A,Read,ACK
10.40670925,9,0x20,0x5A,Read,NAK
10.4077456875,10,0x20,0x01,Write,ACK
10.407992625,10,0x20,0xBB,Write,ACK
10.408239375,10,0x20,0x03,Write,ACK
10.4084866875,10,0x20,0x02,Write,ACK
10.4087335,10,0x20,0x25,Write,ACK
10.4089804375,10,0x20,0x00,Write,ACK
10.4092271875,10,0x20,0xDE,Write,ACK
10.4099348125,11,0x20,0x5A,Read,ACK
10.41020575,11,0x20,0x5A,Read,NAK
10.4147765625,28,0x18,0x30,Write,NAK
10.41598825,29,0x21,0x01,Write,ACK
10.416236,29,0x21,0x48,Write,ACK
10.416483625,29,0x21,0x05,Write,ACK
10.4171964375,30,0x21,0x5A,Read,ACK
10.4174711875,30,0x21,0x93,Read,ACK
10.4177459375,30,0x21,0x00,Read,ACK
10.4180205,30,0x21,0x00,Read,ACK
10.418295125,30,0x21,0xC0,Read,ACK
10.418569625,30,0x21,0x17,Read,ACK
10.4188428125,30,0x21,0x1E,Read,NAK
10.423228375,47,0x36,0x6C,Write,NAK
10.4242455,48,0x20,0x01,Write,ACK
10.42449225,48,0x20,0x3A,Write,ACK
10.424739,48,0x20,0x0A,Write,ACK
10.424986375,48,0x20,0x00,Write,ACK
10.4252333125,48,0x20,0x00,Write,ACK
10.4254800625,48,0x20,0x01,Write,ACK
10.4257268125,48,0x20,0x00,Write,ACK
10.4259735625,48,0x20,0x00,Write,ACK
10.4262206875,48,0x20,0x00,Write,ACK
10.4264675,48,0x20,0xBF,Write,ACK
10.42671425,48,0x20,0x32,Write,ACK
10.426961,48,0x20,0x00,Write,ACK
10.427207875,48,0x20,0x10,Write,ACK
10.427454625,48,0x20,0xED,Write,ACK
10.4281809375,49,0x20,0x5A,Read,ACK
10.428471875,49,0x20,0x5A,Read,NAK
10.429340625,50,0x20,0x01,Write,ACK
10.429588,50,0x20,0x62,Write,ACK
10.4298351875,50,0x20,0x09,Write,ACK
10.4305568125,51,0x20,0x5A,Read,ACK
10.430829,51,0x20,0x20,Read,ACK
10.431101125,51,0x20,0x38,Read,ACK
10.431373875,51,0x20,0x39,Read,ACK
10.4316463125,51,0x20,0x46,Read,ACK
10.4319184375,51,0x20,0x31,Read,ACK
10.43219125,51,0x20,0x30,Read,ACK
10.432463625,51,0x20,0x34,Read,ACK
10.432736,51,0x20,0x46,Read,ACK
10.4330085,51,0x20,0xC5,Read,ACK
10.4332795,51,0x20,0x8B,Read,NAK
10.4342853125,52,0x20,0x01,Write,ACK
10.43453225,52,0x20,0x6B,Write,ACK
10.4347794375,52,0x20,0x02,Write,ACK
10.4354828125,53,0x20,0x5A,Read,ACK
10.4357550625,53,0x20,0x00,Read,ACK
10.436027375,53,0x20,0xC4,Read,ACK
10.436298375,53,0x20,0x9E,Read,NAK
10.437359,54,0x20,0x01,Write,ACK
10.437606375,54,0x20,0x39,Write,ACK
10.4378533125,54,0x20,0x06,Write,ACK
10.4385671875,55,0x20,0x5A,Read,ACK
10.438839375,55,0x20,0x00,Read,ACK
10.4391116875,55,0x20,0x00,Read,ACK
10.439383875,55,0x20,0x00,Read,ACK
10.43965625,55,0x20,0x02,Read,ACK
10.439928625,55,0x20,0x00,Read,ACK
10.4402011875,55,0x20,0x00,Read,ACK
10.4404721875,55,0x20,0x58,Read,NAK
10.441916125,56,0x22,0x00,Write,ACK
10.4421063125,56,0x22,0x02,Write,ACK
10.4422973125,56,0x22,0x03,Write,ACK
10.442739375,57,0x22,0x5A,Read,ACK
10.4429313125,57,0x22,0x00,Read,ACK
10.4431233125,57,0x22,0x00,Read,ACK
10.44331525,57,0x22,0x00,Read,ACK
10.443506625,57,0x22,0x5A,Read,NAK
10.4458854375,58,0x21,0x01,Write,ACK
10.4461334375,58,0x21,0x46,Write,ACK
10.44638125,58,0x21,0x02,Write,ACK
10.446629625,58,0x21,0x07,Write,ACK
10.4468774375,58,0x21,0x08,Write,ACK
10.4471254375,58,0x21,0x08,Write,ACK
10.4478308125,59,0x21,0x5A,Read,ACK
10.4481041875,59,0x21,0x5A,Read,NAK
10.4524021875,76,0x36,0x6C,Write,NAK
10.456651625,93,0x44,0x88,Write,NAK
10.4577863125,94,0x20,0x02,Write,ACK
10.4580333125,94,0x20,0x00,Write,ACK
10.4582804375,94,0x20,0x01,Write,ACK
10.45852775,94,0x20,0x01,Write,ACK
10.4587746875,94,0x20,0x42,Write,ACK
10.4594861875,95,0x20,0x5A,Read,ACK
10.4597569375,95,0x20,0x5A,Read,NAK
10.460838,96,0x20,0x02,Write,ACK
10.46108475,96,0x20,0x01,Write,ACK
10.4614766875,96,0x20,0x03,Write,ACK
10.4618025,96,0x20,0x00,Write,ACK
10.46205075,96,0x20,0x00,Write,ACK
10.4622976875,96,0x20,0x00,Write,ACK
10.4625448125,96,0x20,0x40,Write,ACK
10.463282375,97,0x20,0x5A,Read,ACK
10.4635533125,97,0x20,0x5A,Read,NAK
