Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
11.0165053125,0,0x20,0x01,Write,ACK
11.0167520625,0,0x20,0xBB,Write,ACK
11.016999,0,0x20,0x01,Write,ACK
11.0177,1,0x20,0x5A,Read,ACK
11.0179721875,1,0x20,0x01,Read,ACK
11.0182435,1,0x20,0x5B,Read,NAK
11.01913025,2,0x20,0x01,Write,ACK
11.019377,2,0x20,0x97,Write,ACK
11.0196236875,2,0x20,0x0A,Write,ACK
11.0203485625,3,0x20,0x5A,Read,ACK
11.0206206875,3,0x20,0x00,Read,ACK
11.020892875,3,0x20,0x00,Read,ACK
11.02116525,3,0x20,0x02,Read,ACK
11.0214374375,3,0x20,0x01,Read,ACK
11.02170975,3,0x20,0x00,Read,ACK
11.0219819375,3,0x20,0x00,Read,ACK
11.0222545,3,0x20,0x00,Read,ACK
11.0225266875,3,0x20,0x00,Read,ACK
11.0227988125,3,0x20,0x00,Read,ACK
11.0230711875,3,0x20,0x00,Read,ACK
11.023342,3,0x20,0x59,Read,NAK
11.0242088125,4,0x20,0x01,Write,ACK
11.024455625,4,0x20,0xA1,Write,ACK
11.0247025625,4,0x20,0x08,Write,ACK
11.025422,5,0x20,0x5A,Read,ACK
11.025694375,5,0x20,0x00,Read,ACK
11.0259669375,5,0x20,0x00,Read,ACK
11.0262608125,5,0x20,0x00,Read,ACK
11.026588625,5,0x20,0x00,Read,ACK
11.0268625,5,0x20,0x00,Read,ACK
11.027134625,5,0x20,0x00,Read,ACK
11.027407,5,0x20,0x00,Read,ACK
11.027679375,5,0x20,0x00,Read,ACK
11.0279505,5,0x20,0x5A,Read,NAK
11.029036375,6,0x20,0x01,Write,ACK
11.0292833125,6,0x20,0xA9,Write,ACK
11.0295300625,6,0x20,0x0A,Write,ACK
11.029778,6,0x20,0x00,Write,ACK
11.0300246875,6,0x20,0x00,Write,ACK
11.0302715,6,0x20,0x02,Write,ACK
11.0305184375,6,0x20,0x01,Write,ACK
11.030765375,6,0x20,0x00,Write,ACK
11.031012125,6,0x20,0x00,Write,ACK
11.0312588125,6,0x20,0x00,Write,ACK
11.0315058125,6,0x20,0x00,Write,ACK
11.031753375,6,0x20,0x00,Write,ACK
11.032000125,6,0x20,0x00,Write,ACK
11.03224725,6,0x20,0xE1,Write,ACK
11.0329733125,7,0x20,0x5A,Read,ACK
11.03324425,7,0x20,0x5A,Read,NAK
11.0342703125,8,0x20,0x01,Write,ACK
11.0345170625,8,0x20,0xB3,Write,ACK
11.034764,8,0x20,0x08,Write,ACK
