Time [s],Packet ID,Address,Read/Write,Len,DataId,Data,Data sum,ACK/NAK
11.0165053125,0,20,WR,3,1,01 BB 01 > 5A 01 5B,BC,
11.01913025,2,20,WR,3,3,01 97 0A > 5A 00 00 02 01 00 00 00 00 00 00 59,98,
11.0242088125,4,20,WR,3,5,01 A1 08 > 5A 00 00 00 00 00 00 00 00 5A,A2,
11.029036375,6,20,WR,14,7,01 A9 0A 00 00 02 01 00 00 00 00 00 00 E1 > 5A 5A,B7,
11.0342703125,8,20,WR,12,9,01 B3 08 00 00 00 00 00 00 00 00 FA > 5A 5A,BC,
11.0390096875,10,20,WR,7,10,01 BB 03 02 25 00 DE > 5A 5A,E6,
11.0459814375,28,18,W,1,11,30,0,N
11.046973375,29,21,WR,3,12,01 48 05 > 5A 7F 00 00 C0 17 F2,49,
11.0542100625,47,36,W,1,14,6C,0,N
11.0552216875,48,20,WR,14,15,01 3A 0A 00 00 01 00 00 00 BF 32 00 10 ED > 5A 5A,147,
11.060582375,50,20,WR,3,16,01 62 09 > 5A 20 38 33 46 20 38 36 46 88 D7,63,
11.0655198125,52,20,WR,3,18,01 6B 02 > 5A 00 C4 9E,6C,
11.0685836875,54,20,WR,3,20,01 39 06 > 5A 00 00 00 02 00 00 58,3A,
11.073130625,56,22,WR,3,22,00 02 03 > 5A 00 00 00 5A,2,
11.0770873125,58,21,WR,6,24,01 46 02 07 08 08 > 5A 5A,58,
11.083575375,76,36,W,1,14,6C,0,N
11.0878345,93,44,W,1,25,88,0,N
11.0889646875,94,20,WR,5,26,02 00 01 01 42 > 5A 5A,4,
11.092006125,96,20,WR,7,27,02 01 03 00 00 00 40 > 5A 5A,6,
11.099643625,114,3E,W,1,28,7C,0,N
11.103843625,131,3E,W,1,28,7C,0,N
11.108048375,148,44,W,1,25,88,0,N
11.116574375,149,20,WR,3,1,01 BB 01 > 5A 02 58,BC,
11.1192091875,151,20,WR,3,3,01 97 0A > 5A 00 00 02 01 00 00 00 00 00 00 59,98,
11.1242864375,153,20,WR,3,5,01 A1 08 > 5A 00 00 00 00 00 00 00 00 5A,A2,
11.129120375,155,20,WR,14,7,01 A9 0A 00 00 02 01 00 00 00 00 00 00 E1 > 5A 5A,B7,
11.1343583125,157,20,WR,12,9,01 B3 08 00 00 00 00 00 00 00 00 FA > 5A 5A,BC,
11.1390995625,159,20,WR,7,30,01 BB 03 02 25 17 C9 > 5A 5A,FD,
11.1461180625,177,18,W,1,11,30,0,N
11.147324625,178,21,WR,3,12,01 48 05 > 5A 7F 00 00 C0 17 F2,49,
11.1545591875,196,36,W,1,14,6C,0,N
11.1555748125,197,20,WR,14,31,01 3A 0A 00 00 01 00 00 00 BF 32 08 10 E5 > 5A 5A,14F,
11.1609368125,199,20,WR,3,16,01 62 09 > 5A 20 38 33 46 20 38 36 46 88 D7,63,
11.1658754375,201,20,WR,3,18,01 6B 02 > 5A 00 C4 9E,6C,
11.16893825,203,20,WR,3,20,01 39 06 > 5A 00 00 00 02 00 00 58,3A,
11.173494625,205,22,WR,3,22,00 02 03 > 5A 00 00 00 5A,2,
11.1774596875,207,21,WR,6,24,01 46 02 07 08 08 > 5A 5A,58,
11.1839501875,225,36,W,1,14,6C,0,N
11.188177375,242,44,W,1,25,88,0,N
11.189337125,243,20,WR,5,26,02 00 01 01 42 > 5A 5A,4,
11.1923795625,245,20,WR,7,27,02 01 03 00 00 00 40 > 5A 5A,6,
11.1996810625,263,3E,W,1,28,7C,0,N
11.20391,280,3E,W,1,28,7C,0,N
11.2081451875,297,44,W,1,25,88,0,N
11.220726375,314,18,W,1,11,30,0,N
11.221872375,315,21,WR,3,12,01 48 05 > 5A 7F 00 00 C0 17 F2,49,
11.2301888125,334,20,WR,14,31,01 3A 0A 00 00 01 00 00 00 BF 32 08 10 E5 > 5A 5A,14F,
11.2353205,336,20,WR,3,16,01 62 09 > 5A 20 38 33 46 20 38 36 46 88 D7,63,
11.2402925,338,20,WR,3,18,01 6B 02 > 5A 00 C4 9E,6C,
11.243825625,340,20,WR,3,20,01 39 06 > 5A 00 00 00 02 00 00 58,3A,
11.24838725,342,22,WR,3,22,00 02 03 > 5A 00 00 00 5A,2,
11.2518425625,344,21,WR,6,24,01 46 02 07 08 08 > 5A 5A,58,
11.2583208125,362,36,W,1,14,6C,0,N
11.2630224375,379,44,W,1,25,88,0,N
